sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO54001,0021,48,20200521,20200530,20200605,70,2,15
SO54002,0020,59,20231219,20231222,20231230,600,1,600
SO54003,0017,62,20220810,20220817,20220824,280,2,120
SO54004,0007,60,0,20230323,20230328,240,2,120
SO54005,0006,46,20240621,20240626,20240701,,2,600
SO54006,0006,11,20210509,20210516,20210521,135,3,45
SO54007,0000,12,20210825,20210829,20210905,225,5,45
SO54008,0016,45,20220521,20220530,20220531,450,2,250
SO54009,0010,16,20240301,20240310,20240308,45,1,45
SO54010,0024,68,20230507,20230512,20230513,,1,120
SO54011,0017,17,20210715,20210716,20210720,360,3,-120
SO54012,0015,14,20241122,20241123,20241206,500,2,250
SO54013,0008,62,20200821,20200823,20200901,30,2,15
SO54014,0018,39,20200623,20200627,20200629,750,3,250
SO54015,0016,49,20220711,20220719,20220720,750,3,250
SO54016,0023,13,20240411,20240415,20240426,120,1,-120
SO54017,0002,21,20200106,20200113,20200118,3000,5,
SO54018,0009,59,20200525,20200529,20200603,3000,5,600
SO54019,0017,29,0,20230822,20230828,15,1,15
SO54020,0018,37,20220618,20220620,20220630,600,5,120
SO54021,0015,57,20200613,20200623,20200618,240,2,
SO54022,0021,3,20240415,20240420,20240429,45,1,45
SO54023,0005,56,20230724,20230801,20230730,190,2,120
SO54024,0010,53,20231121,20231129,20231130,1250,5,250
SO54025,0010,33,20211024,20211026,20211104,45,3,15
SO54026,0006,67,20220110,20220120,20220122,1250,5,250
SO54027,0009,57,20231201,20231209,20231207,600,1,600
SO54028,0000,53,20200709,20200713,20200715,30,2,-15
SO54029,0009,66,20231215,20231220,20231226,500,2,250
SO54030,0019,66,20240308,20240311,20240314,500,2,250
SO54031,0000,37,20240126,20240131,20240209,750,3,250
SO54032,0010,70,20220211,20220219,20220221,45,1,45
SO54033,0001,41,20240305,20240313,20240316,90,2,
SO54034,0018,43,20241116,20241118,20241128,600,1,
SO54035,0020,20,20200602,20200610,20200611,1200,2,600
SO54036,0021,69,20220217,20220223,20220304,,5,
SO54037,0020,37,20210410,20210412,20210421,15,1,15
SO54038,0001,42,20240618,20240619,20240627,240,2,120
SO54039,0021,24,20201214,20201217,20201220,750,3,250
SO54040,0004,30,20220802,20220807,20220814,30,2,15
SO54041,0017,21,20200531,20200608,20200610,360,3,120
SO54042,0009,26,20220226,20220306,20220304,250,1,250
SO54043,0009,3,20240826,20240902,20240904,600,1,600
SO54044,0019,64,20240901,20240906,20240909,360,3,120
SO54045,0024,18,20230710,20230712,20230725,75,5,15
SO54046,0023,17,20200703,20200708,20200713,1250,5,-250
SO54047,0011,68,20221024,20221029,20221031,500,2,250
SO54048,0003,60,20200603,20200606,20200611,1250,5,250
SO54049,0012,2,20210625,20210704,20210701,240,2,120
SO54050,0020,48,20200809,20200813,20200821,600,1,600
SO54051,0007,9,202307,20230802,20230803,,5,
SO54052,0015,15,20200718,20200722,20200731,250,1,250
SO54053,0017,54,20230417,20230420,20230428,75,5,15
SO54054,0008,5,20231114,20231120,20231122,600,2,250
SO54055,0011,70,20230813,20230819,20230818,240,2,-120
SO54056,0014,12,20230919,20230923,20231004,3000,5,
SO54057,0004,27,20200520,20200529,20200528,135,3,45
SO54058,0019,1,20210721,20210724,20210728,360,3,-120
SO54059,0004,2,20220103,20220107,20220117,30,2,
SO54060,0016,15,20240307,20240309,20240319,240,2,-120
SO54061,0019,6,0,20240207,20240207,30,2,15
SO54062,0021,14,20221001,20221009,20221007,120,1,
SO54063,0020,42,20220219,20220301,20220304,500,2,250
SO54064,0003,28,20220530,20220607,20220607,240,2,120
SO54065,0010,55,0,20211007,20211012,200,1,250
SO54066,0023,48,20240720,20240723,20240802,600,1,600
SO54067,0013,46,20241124,20241201,20241129,1200,2,-600
SO54068,0004,62,202104,20210406,20210414,360,3,120
SO54069,0013,4,20230601,20230606,20230606,120,1,120
SO54070,0000,24,0,20241119,20241130,1250,5,250
SO54071,0002,68,20210316,20210323,20210327,240,2,120
SO54072,0018,11,20200417,20200420,20200424,45,3,15
SO54073,0015,57,20220428,20220503,20220506,45,3,-15
SO54074,0018,63,20221215,20221220,20221220,250,1,
SO54075,0006,18,0,20240419,20240423,30,2,15
SO54076,0012,69,0,20231216,20231225,,3,120
SO54077,0000,59,20200608,20200614,20200622,1200,2,600
SO54078,0012,3,202110,20211030,20211110,240,2,120
SO54079,0018,52,20221209,20221211,20221220,,2,120
SO54080,0020,15,20221222,20221231,20221230,240,2,120
SO54081,0007,14,20201026,20201031,20201103,,1,600
SO54082,0024,64,20220808,20220818,20220822,1200,2,600
SO54083,0020,41,20201105,20201113,20201111,500,2,250
SO54084,0011,65,0,20200605,20200612,,2,15
SO54085,0002,65,20220226,20220306,20220312,45,3,15
SO54086,0010,61,20221023,20221026,20221028,30,2,15
SO54087,0002,65,20230816,20230819,20230821,250,1,250
SO54088,0011,48,0,20210809,20210813,1200,2,600
SO54089,0010,13,20230216,20230223,20230225,1200,2,600
SO54090,0004,45,20210927,20211004,20211004,45,3,15
SO54091,0004,68,20200710,20200717,20200723,30,2,15
SO54092,0024,63,20210128,20210201,20210204,15,1,15
SO54093,0017,68,20200318,20200324,20200401,600,1,600
SO54094,0024,22,20240116,20240124,20240121,240,2,120
SO54095,0009,58,20210424,20210503,20210502,500,2,250
SO54096,0018,57,20220803,20220808,20220814,1800,3,600
SO54097,0019,18,20241122,20241127,20241127,1350,5,250
SO54098,0003,37,20200620,20200623,20200629,1200,2,600
SO54099,0007,58,20211216,20211217,20211227,250,1,250
SO54100,0011,29,20200227,20200304,20200304,600,5,-120
SO54101,0015,18,20240403,20240411,20240415,45,3,
SO54102,0004,68,202205,20220518,20220525,120,1,120
SO54103,0019,59,0,20200510,20200520,1800,3,600
SO54104,0004,38,20220529,20220530,20220612,90,2,45
SO54105,0016,47,20200518,20200527,20200531,1800,3,600
SO54106,0020,50,20220203,20220208,20220208,30,2,15
SO54107,0024,43,20200930,20201001,20201010,360,3,120
SO54108,0014,62,0,20230720,20230724,250,1,250
SO54109,0001,41,20210927,20211006,20211008,750,3,250
SO54110,0011,7,20241108,20241114,20241117,120,1,120
SO54111,0012,44,20210117,20210125,20210129,1200,2,
SO54112,0013,24,20230122,20230127,20230201,15,1,15
SO54113,0022,55,20201207,20201215,20201217,30,2,15
SO54114,0013,36,20230802,20230803,20230808,1250,5,250
SO54115,0000,19,202410,20241014,20241019,30,2,15
SO54116,0011,50,20230307,20230308,20230321,250,1,250
SO54117,0018,18,20221220,20221226,20221231,240,2,-120
SO54118,0015,67,20220303,20220312,20220309,240,2,120
SO54119,0022,63,20210213,20210215,20210220,250,1,250
SO54120,0021,41,20230929,20231005,20231005,1800,3,600
SO54121,0022,23,20240613,20240619,20240626,15,1,15
SO54122,0015,4,20220109,20220118,20220123,500,2,250
SO54123,0002,9,20210925,20211002,20211007,,3,250
SO54124,0010,10,202207,20220718,20220725,360,3,120
SO54125,0018,24,20240421,20240424,20240502,45,3,15
SO54126,0005,42,20231223,20231227,20240102,360,3,120
SO54127,0017,36,20200913,20200918,20200927,45,3,15
SO54128,0004,22,0,20230921,20230925,1300,2,600
SO54129,0024,34,20230826,20230830,20230909,1200,2,600
SO54130,0009,39,20220916,20220920,20221001,240,2,120
SO54131,0013,62,20220809,20220813,20220819,135,3,45
SO54132,0011,52,20200924,20200930,20201007,45,3,15
SO54133,0007,19,20200717,20200718,20200726,1200,2,600
SO54134,0010,41,20210123,20210126,20210204,,3,250
SO54135,0012,65,0,20220729,20220802,360,3,120
SO54136,0020,61,202108,20210817,20210813,250,1,250
SO54137,0012,47,20200402,20200409,20200407,,3,600
SO54138,0016,58,202404,20240423,20240423,1800,3,600
SO54139,0010,47,20240326,20240329,20240403,,3,
SO54140,0022,43,20240704,20240712,20240717,90,2,45
SO54141,0019,41,20201128,20201205,20201212,600,5,120
SO54142,0015,39,20220830,20220831,20220909,30,2,15
SO54143,0023,4,20230507,20230515,20230516,3000,5,600
SO54144,0005,68,0,20230722,20230723,-5,1,45
SO54145,0014,41,20220507,20220510,20220518,225,5,45
SO54146,0023,8,20231216,20231219,20231229,600,1,600
SO54147,0010,23,20220730,20220808,20220809,360,3,120
SO54148,0022,34,20230603,20230611,20230611,120,1,120
SO54149,0009,37,20231214,20231218,20231226,500,2,250
SO54150,0008,37,20200906,20200916,20200921,750,3,250
SO54151,0024,19,20210817,20210818,20210826,75,5,15
SO54152,0015,28,202102,20210226,20210226,360,3,120
SO54153,0007,7,0,20231012,20231011,225,5,45
