cid,bdate,gen
AW10015,2018-05-03,M
AW10003,1983-02-05,f
NASAW10044,1988-06-28,
AW10014,1967-05-15,
NASAW10022,2012-01-06,Female
AW10032,1998-12-05,Female
AW10023,1995-06-18,m
AW10036,1998-06-23,
AW10011,2000-05-06,
AW10066,1992-04-15,U
AW10063,1962-06-01,Male
AW10028,1979-08-29,f
NASAW10030,1996-01-11,U
AW10070,1965-02-26,f
AW10052,1987-11-30,F
AW10026,1994-08-06,
NASAW10041,2013-08-23,f
AW10012,1957-11-22,m
AW10053,1962-10-21,M
AW10054,1976-04-04,m
AW10043,2009-10-01,Female
AW10059,1973-07-15,F
AW10055,2002-10-02,Female
AW10002,2018-03-01,f
AW10040,2001-02-24,M
NASAW10013,2022-04-18,F
AW10029,2013-11-04,Female
AW10038,2018-10-27,Male
AW10049,2015-09-01,Female
AW10025,1979-02-09,
AW10001,2011-11-05,M
AW10067,2022-04-08,m
AW10039,1998-10-14,F
AW10018,2020-09-25,U
AW10005,2017-07-22,M
AW10007,1990-09-06,
AW10056,1999-05-20,f
AW10024,2006-11-06,U
AW10021,2016-03-26,F
NASAW10035,2027-06-15,Female
AW10057,1955-01-23,
AW10004,2016-10-10,f
NASAW10009,1979-08-02,m
AW10061,1988-05-11,Female
NASAW10016,2011-02-15,Male
AW10017,1963-03-08,F
AW10065,1961-12-28,Male
AW10062,2027-06-15,m
AW10020,1992-11-20,U
NASAW10045,1989-05-14,M
NASAW10027,1987-12-23,Female
AW10033,2022-07-27,Female
NASAW10068,2027-06-15,Female
AW10034,2019-10-24,Female
AW10051,2010-04-09,Male
NASAW10050,1964-01-06,M
AW10008,1989-06-14,
AW10010,1967-07-18,M
AW10069,2008-12-01,f
