cid,cntry
AW10004,Germany
AW10039,US
AW10027,Germany
AW-10067,
AW-10066,DE
AW10025,Australia
AW-10051,France
AW-10019,Spain
AW-10042,Australia
AW10070,Germany
AW-10064,USA
AW10058,DE
AW-10060,
AW10016,US
AW10032,Australia
AW-10065,France
AW10008,DE
AW-10057,United States
AW10056,Germany
AW10041,France
AW10069,France
AW10005,Australia
AW10034,Spain
AW10001,
AW10024,United States
AW10021,
AW10009,France
AW10055,Spain
AW10037,United States
AW-10068,United States
AW10046,Spain
AW10035,Spain
AW-10012,US
AW10031,Spain
AW-10049,DE
AW10002,DE
AW10036,France
AW10047,USA
AW-10017,DE
AW10007,Australia
AW10050,US
AW10030,Spain
AW-10026,US
AW10013,Australia
AW-10052,
AW10010,US
AW10045,DE
AW10023,DE
AW-10028,Spain
AW10014,
AW10040,United States
AW10059,Spain
AW10003,France
AW-10048,
AW10044,United States
AW10029,
AW-10022,USA
AW10015,Australia
AW10053,Germany
AW10061,Australia
AW10018,France
AW-10038,
AW10006,France
